country,region,activeUsers,sessions
(not set),(not set),8,8
United States,California,6,6
China,(not set),5,5
Hong Kong,(not set),4,4
Brazil,State of Parana,3,10
Brazil,State of Rio de Janeiro,3,3
Brazil,State of Sao Paulo,3,3
United States,Iowa,3,3
Brazil,Federal District,2,2
Brazil,State of Bahia,2,3
China,Guangxi,2,2
United States,Colorado,2,2
United States,Florida,2,2
Brazil,Ceara,1,1
Brazil,State of Goias,1,4
Brazil,State of Maranhao,1,1
Brazil,State of Mato Grosso do Sul,1,1
Brazil,State of Para,1,1
Brazil,State of Sergipe,1,1
France,Hauts-de-France,1,1
