country,region,activeUsers,sessions
(not set),(not set),9,9
United States,California,8,8
United States,Illinois,8,8
United States,Virginia,8,8
Brazil,State of Sao Paulo,5,5
China,(not set),4,4
Brazil,State of Rio de Janeiro,3,5
Brazil,State of Parana,2,5
Hong Kong,(not set),2,2
Brazil,Federal District,1,1
Brazil,State of Alagoas,1,1
Brazil,State of Amazonas,1,1
Brazil,State of Espirito Santo,1,1
Brazil,State of Goias,1,2
Brazil,State of Minas Gerais,1,1
Brazil,State of Paraiba,1,1
Brazil,State of Santa Catarina,1,2
China,Heilongjiang,1,1
China,Jiangsu,1,1
China,Xinjiang,1,1
