country,region,activeUsers,sessions
United States,California,19,19
(not set),(not set),14,14
United States,Illinois,12,12
United States,Iowa,12,12
United States,Wyoming,8,8
Brazil,State of Goias,5,10
United States,Arizona,4,4
United States,New York,4,4
United States,Virginia,4,4
Brazil,State of Rio de Janeiro,3,3
Brazil,State of Sao Paulo,3,5
China,(not set),3,3
Brazil,Federal District,2,2
Brazil,State of Parana,2,5
Brazil,State of Santa Catarina,2,2
,,1,1
Brazil,State of Bahia,1,1
Brazil,State of Mato Grosso,1,1
Brazil,State of Minas Gerais,1,1
Brazil,State of Sergipe,1,1
