country,region,activeUsers,sessions
China,(not set),8,8
(not set),(not set),6,6
Hong Kong,(not set),6,6
United States,Virginia,5,5
United States,Wyoming,4,4
Brazil,State of Sao Paulo,3,4
Brazil,State of Parana,2,2
Brazil,State of Rio de Janeiro,2,2
Canada,British Columbia,2,2
United States,Iowa,2,2
Brazil,Ceara,1,1
Brazil,State of Goias,1,3
Brazil,State of Paraiba,1,1
Brazil,State of Santa Catarina,1,1
Portugal,Lisbon,1,1
Portugal,Madeira,1,1
South Korea,Gyeonggi-do,1,1
United States,Alaska,1,1
United States,Colorado,1,1
Mexico,Puebla,0,1
