pagePath,pageTitle,screenPageViews,activeUsers,averageSessionDuration
/,"Pós-graduação em Psicologia, guia editorial independente para escolher MBA, Especialização Lato Sensu, Mestrado Profissional, Especialização Clínica e Residência",14,11,1.9006799285714284
/temas/,"Temas em alta em Psicologia aplicada — NR-1, saúde mental, burnout, IA em RH e segurança psicológica",3,2,46.8520515
/areas/psicologia-organizacional-trabalho/,"Psicologia Organizacional e do Trabalho (POT): cultura, NR-1 e pós aplicada",2,2,0
/glossario/instrumentos/,"Glossário de instrumentos de avaliação psicológica — WAIS-IV, MMPI-2, PHQ-9, COPSOQ",2,1,27.907055
/guias/implementar-nr1-em-empresa/,Como implementar a NR-1 atualizada na empresa — guia 9 passos · riscos psicossociais,2,2,0
/mbas/,MBAs em Psicologia · uma das cinco modalidades de pós-graduação — guia independente IPOG,2,2,0
/areas/psicologia-escolar-educacional/,Psicologia Escolar e Educacional: a maior alavanca está no currículo,1,1,4.568747
/areas/psicologia-transito-trafego/,"Psicologia de Trânsito e Tráfego: avaliação CNH, DETRAN e pós aplicada",1,1,0
/autismo/artigos/camuflagem-masking-cat-q-adulto-2026/,"Camuflagem em adultos autistas: definição operacional, modelo CAT-Q, custo invisível e o que muda em terapia, autismo nível 1 em adultos",1,1,0
/autismo/artigos/clinica-tea-adulto-evidencia-2026/,"Atender adultos autistas nível 1 na prática clínica em 2026: avaliação, enquadre, intervenções com evidência e erros comuns, autismo nível 1 em adultos",1,1,0
/autismo/sobre-larissa/,"Larissa Caramaschi, psicóloga clínica em Goiânia, autoridade em autismo nível 1 de suporte em adultos",1,1,0
/carreira/neuropsicologia/,"Carreira em Neuropsicologia — formação, progressão e MBA combinado",1,1,0
/comparativos/act-vs-tcc/,ACT vs TCC: comparativo entre Aceitação e Compromisso e Cognitivo-Comportamental,1,1,0
/comparativos/iapt-vs-stepped-care-brasil/,IAPT vs SUS: comparativo entre modelo NHS e stepped care brasileiro,1,1,1.493757
/comparativos/online-vs-presencial/,Online vs Presencial em pós-graduação: qual escolher e quando,1,1,0
/comparativos/psicoterapia-individual-vs-grupo/,"Psicoterapia individual vs em grupo: mecanismo, evidência e quando combinar",1,1,0
/comparativos/sm-trabalho-remoto-vs-presencial/,Saúde mental no trabalho remoto vs presencial: o que a evidência mostra em 2026,1,1,0
/conteudo-social/medium/,"Medium para psicólogo brasileiro em 2026: distribuição, monetização e SEO interno — Brasil GEO",1,1,1.165824
/evidencias/burnout-gen-z/,Burnout e geração Z · evidência atualizada 2024-2026,1,1,0
/evidencias/ia-generativa-saude-mental/,IA generativa em saúde mental · evidência e alertas 2024-2026,1,1,0
/faq/tdah-adulto-faq/,"TDAH em adulto — FAQ | ASRS, DIVA-5, medicação, TCC adaptada e LBI",1,1,0
/guias/avaliacao-tea-adulto/,"Avaliação de TEA em adulto — guia 9 passos · AQ-50, ADOS-2, RAADS-R, RBANS",1,1,0
/intervencoes/atencao-primaria-matriciamento/,Atenção primária à saúde mental e matriciamento: fundamentação e prática no SUS,1,1,158.497364
/intervencoes/iapt-nhs/,"IAPT / NHS Talking Therapies: fundamentação, evidência e lições para o Brasil",1,1,0
/intervencoes/intervencao-crise/,"Intervenção em crise: protocolos de avaliação, estabilização e seguimento (Caplan, Roberts, OMS, RAPS)",1,1,25.318411
