country,region,activeUsers,sessions
Brazil,State of Sao Paulo,6,8
China,Xinjiang,5,5
Brazil,State of Rio de Janeiro,3,3
Brazil,Federal District,2,2
Brazil,State of Minas Gerais,2,2
United States,Iowa,2,2
Brazil,Ceara,1,1
Brazil,State of Goias,1,1
Brazil,State of Maranhao,1,1
Brazil,State of Mato Grosso,1,1
Brazil,State of Rio Grande do Sul,1,1
Brazil,State of Santa Catarina,1,2
China,(not set),1,1
Hong Kong,(not set),1,1
Portugal,Lisbon,1,1
South Korea,Gyeonggi-do,1,1
United States,Colorado,1,1
United States,Illinois,1,1
United States,New York,1,1
United States,Oregon,1,1
