country,region,activeUsers,sessions
United States,Virginia,15,15
United States,Colorado,9,9
United States,Wyoming,9,9
(not set),(not set),8,8
United States,California,8,8
Brazil,State of Sao Paulo,7,9
,,5,5
Brazil,State of Goias,4,8
United States,Illinois,4,4
United States,Iowa,4,4
Hong Kong,(not set),3,3
Hong Kong,,2,2
South Korea,Gyeonggi-do,2,2
United States,Texas,2,2
United States,Washington,2,2
Brazil,Ceara,1,1
Brazil,State of Minas Gerais,1,1
Brazil,State of Parana,1,1
Brazil,State of Pernambuco,1,2
Brazil,State of Santa Catarina,1,1
