country,region,activeUsers,sessions
China,Xinjiang,6,6
Brazil,State of Rio de Janeiro,5,6
United States,Illinois,5,5
(not set),(not set),4,4
Brazil,State of Minas Gerais,4,5
Brazil,State of Sao Paulo,4,4
Brazil,State of Bahia,3,4
China,(not set),3,3
,,2,2
Brazil,State of Alagoas,2,3
Brazil,State of Parana,2,2
Brazil,State of Pernambuco,2,3
Brazil,State of Rio Grande do Sul,2,2
Brazil,State of Tocantins,2,2
United States,California,2,2
United States,Iowa,2,2
Vietnam,Ho Chi Minh,2,2
Algeria,Algiers Province,1,1
Argentina,Cordoba Province,1,1
Bangladesh,Dhaka Division,1,1
