country,region,activeUsers,sessions
China,Xinjiang,11,11
Brazil,State of Minas Gerais,4,4
United States,California,4,4
Brazil,State of Sao Paulo,3,4
Brazil,State of Goias,2,5
Brazil,State of Rio Grande do Sul,2,2
Brazil,State of Santa Catarina,2,2
Germany,Hessen,2,2
Portugal,Lisbon,2,2
Brazil,Ceara,1,1
Brazil,Federal District,1,1
Brazil,State of Espirito Santo,1,1
Brazil,State of Mato Grosso,1,1
Brazil,State of Rio de Janeiro,1,1
China,(not set),1,1
China,Zhejiang,1,1
Hong Kong,(not set),1,1
United States,Colorado,1,1
United States,Illinois,1,1
United States,Iowa,1,1
