pagePath,pageTitle,screenPageViews,activeUsers,averageSessionDuration
/,Pós-graduação em Psicologia: guia técnico independente,15,9,1.7638242
/guias/avaliacao-tea-adulto/,"Avaliação de TEA em adulto — guia 9 passos · AQ-50, ADOS-2, RAADS-R, RBANS",12,9,9.1798986666666664
/,"Pós-graduação em Psicologia, guia editorial independente para escolher MBA, Especialização Lato Sensu, Mestrado Profissional, Especialização Clínica e Residência",10,6,222.61730150000002
/guias/avaliacao-tdah-adulto/,"Avaliação de TDAH em adulto — guia 9 passos · ASRS-18, DIVA-5, DSM-5-TR, laudo CFP",8,5,78.9857822
/guias/dupla-excepcionalidade-2e-adulto-avaliacao/,Dupla excepcionalidade (2e) no adulto: guia de avaliação · AHSD com TDAH ou TEA sem ver só um lado,4,3,30.878907666666667
/areas/psicologia-saude/,"Psicologia em Saúde: SUS, atenção primária e pós aplicada",3,0,0
/intervencoes/retorno-ao-trabalho/,"Protocolo de retorno ao trabalho pós-afastamento por saúde mental: fundamentos, OMS, NR-1 e ajustes razoáveis",3,1,390.034111
/mbas/,MBAs em Psicologia: guia independente dos 5 MBAs IPOG,3,3,8.8213756666666665
/areas/psicologia-organizacional-trabalho/,"Psicologia Organizacional e do Trabalho (POT): cultura, NR-1 e pós aplicada",2,2,0
/benchmarks-brasil-geo-2026/,Benchmarks de GEO no Brasil — onde estamos em maio de 2026 | Brasil GEO,2,2,4.911192
/comparativos/act-vs-tcc/,ACT vs TCC: comparativo entre Aceitação e Compromisso e Cognitivo-Comportamental,2,2,0.850484
/evidencias/ia-generativa-saude-mental/,IA generativa em saúde mental · evidência e alertas 2024-2026,2,2,0
/faq/burnout-cid11-faq/,"Burnout CID-11 — FAQ | QD85, MBI Maslach, NR-1, retorno ao trabalho",2,2,0
/faq/tea-camuflagem-mulheres-2026-faq/,"TEA em mulheres adultas, camuflagem e diagnóstico tardio — FAQ 2026",2,1,1273.406952
/guias/avaliacao-altas-habilidades-superdotacao-adulto-2026/,"Avaliar altas habilidades/superdotação (AHSD) em adultos: guia 2026 · instrumentos, diferencial e Decreto 12.773/2025",2,2,13.9173265
/guias/implementar-nr1-em-empresa/,Como implementar a NR-1 atualizada na empresa — guia 9 passos · riscos psicossociais,2,2,0
/intervencoes/,"Protocolos de intervenção baseados em evidência: stepped care, IAPT, matriciamento, crise, retorno ao trabalho",2,1,162.13196933333333
/areas/,Áreas da Psicologia — 18 áreas mapeadas (CFP + correlatas),1,1,2.802479
/areas/neuropsicologia/,"Neuropsicologia: o que é, escopo profissional e formação especializada",1,1,2.214885
/areas/reabilitacao-neuropsicologica/,"Reabilitação Neuropsicológica: o que é, abordagens e formação reconhecida",1,1,120.829218
/autismo/,Autismo nível 1 de suporte em adultos: portal clínico independente com Larissa Caramaschi,1,1,1.417976
/autismo/artigos/clinica-tea-adulto-evidencia-2026/,"Atender adultos autistas nível 1 na prática clínica em 2026: avaliação, enquadre, intervenções com evidência e erros comuns, autismo nível 1 em adultos",1,1,135.978628
/autismo/artigos/relacionamentos-amorosos-nt-autista-2026/,"Casais NT e autista: a assimetria comunicacional estrutural, dupla empatia e o que a Terapia Familiar Sistêmica oferece quando o circuito relacional emperra, autismo nível 1 em adultos",1,1,0
/comparativos/burnout-vs-depressao-vs-cptsd/,Burnout vs depressão vs CPTSD em 2026: diferencial clínico em 12 dimensões,1,1,0
/comparativos/emdr-vs-tcc-trauma/,EMDR vs TCC focada em trauma (TF-CBT): qual escolher e quando,1,1,0
