country,region,activeUsers,sessions
Brazil,State of Sao Paulo,7,8
China,Xinjiang,7,7
(not set),(not set),5,5
Brazil,State of Parana,4,4
Brazil,State of Rio de Janeiro,4,6
United States,Arizona,4,4
United States,Virginia,4,4
Brazil,State of Minas Gerais,3,6
Brazil,State of Rio Grande do Sul,3,3
Brazil,Ceara,2,2
Brazil,State of Bahia,2,2
Brazil,State of Goias,2,6
Brazil,State of Pernambuco,2,3
Brazil,State of Santa Catarina,2,2
United States,South Carolina,2,2
Brazil,State of Amazonas,1,1
Brazil,State of Maranhao,1,1
Brazil,State of Para,1,1
Brazil,State of Paraiba,1,1
Cape Verde,Praia,1,3
