country,region,activeUsers,sessions
United States,California,25,25
United States,Virginia,13,13
United States,Arizona,12,12
Brazil,State of Sao Paulo,8,15
Brazil,State of Goias,7,27
United States,Colorado,7,7
United States,Iowa,6,6
United States,Wyoming,5,5
India,Maharashtra,4,4
United States,Florida,4,4
United States,Illinois,4,4
United States,Washington,4,4
United Kingdom,England,3,3
Canada,British Columbia,2,2
(not set),(not set),1,1
Brazil,Federal District,1,1
Brazil,State of Minas Gerais,1,1
Brazil,State of Pernambuco,1,1
Canada,Quebec,1,1
France,Grand Est,1,1
