pagePath,pageTitle,screenPageViews,activeUsers,averageSessionDuration
/guias/retorno-ao-trabalho-pos-burnout/,Retorno ao trabalho pós-burnout — guia 9 passos · plano escalonado e revisão 90/180 dias,7,1,615.08938580000006
/,Pós-graduação em Psicologia: guia técnico independente,5,4,1.3965305
/guias/escalas-burnout-bat-mbi-olbi-cbi/,"Escalas de burnout no Brasil em 2026: como escolher e aplicar BAT, MBI, OLBI e CBI",4,4,5.18031025
/guias/manejo-trauma-complexo-cptsd/,"Manejo de trauma complexo (CPTSD/TEPT-C) — guia 10 passos · CID-11 6B41, ITQ, STAIR, EMDR adaptado",4,4,0.90167225000000006
/metodos/emdr/,EMDR (Eye Movement Desensitization and Reprocessing): fundamentos e evidência,4,4,0.9186025
/areas/psicologia-organizacional-trabalho/,"Psicologia Organizacional e do Trabalho (POT): cultura, NR-1 e pós aplicada",3,2,378.1469455
/comparativos/emdr-vs-tcc-trauma/,EMDR vs TCC focada em trauma (TF-CBT): qual escolher e quando,3,3,4.4317590000000004
/guias/avaliacao-tdah-adulto/,"Avaliação de TDAH em adulto — guia 9 passos · ASRS-18, DIVA-5, DSM-5-TR, laudo CFP",3,3,6.8807653333333336
/areas/ia-people-analytics-psicologia-digital/,"IA, People Analytics e Psicologia Digital: pós aplicada ao RH",2,2,785.6717195
/autismo/artigos/clinica-tea-adulto-evidencia-2026/,"Atender adultos autistas nível 1 na prática clínica em 2026: avaliação, enquadre, intervenções com evidência e erros comuns, autismo nível 1 em adultos",2,1,0
/metodos/mindfulness/,"Mindfulness clínico (MBSR e MBCT): fundamentos, evidência e formação",2,2,0
/por-estado/ma/,"Pós em Psicologia no Maranhão: mercado, salário e formato",2,2,273.0091105
/temas/avaliar-tdah-adulto-brasil-protocolo/,Como avaliar TDAH em adulto no Brasil em 2026 — protocolo principal,2,2,20.175003
/temas/melhor-mba-psicologia-organizacional-brasil-2026/,Qual o melhor MBA em Psicologia Organizacional no Brasil em 2026 — critérios objetivos,2,2,129.026846
/areas/psicologia-positiva/,"Psicologia Positiva: PERMA, ciência do florescimento e pós aplicada",1,1,0
/areas/psicomotricidade/,"Psicomotricidade: corpo, movimento e desenvolvimento — pós interdisciplinar",1,1,0
/areas/saude-mental-organizacoes/,"Saúde Mental nas Organizações: NR-1, burnout e o que funciona",1,1,23.490821
/autismo/,Autismo nível 1 em adultos: portal clínico independente,1,1,87.244425
/autismo/artigos/relacionamentos-amorosos-nt-autista-2026/,"Casais NT e autista: a assimetria comunicacional estrutural, dupla empatia e o que a Terapia Familiar Sistêmica oferece quando o circuito relacional emperra, autismo nível 1 em adultos",1,1,0
/autismo/para-pacientes/,Autismo nível 1 em adultos para pacientes e famílias: leitura clínica acessível com Larissa Caramaschi,1,1,18.164894
/benchmarks-brasil-geo-2026/,Benchmarks de GEO no Brasil — onde estamos em maio de 2026 | Brasil GEO,1,1,0
/comparativos/act-vs-tcc/,ACT ou TCC: comparativo clínico para decidir,1,1,0
/comparativos/instrumentos-burnout-bat12-mbihssmp-olbi-cbi-validacao-br-2026/,"Instrumentos de burnout em 2026 — BAT-12 vs MBI-HSS-MP vs OLBI vs CBI | validação BR, CID-11 QD85",1,1,0
/comparativos/mba-vs-especializacao/,MBA vs Especialização em Psicologia: qual escolher e quando,1,1,0
/evidencias/ia-generativa-saude-mental/,IA generativa em saúde mental · evidência e alertas 2024-2026,1,1,0
