country,region,activeUsers,sessions
(not set),(not set),19,19
United States,California,5,5
United States,Virginia,5,5
Brazil,State of Goias,4,11
Brazil,State of Sao Paulo,4,4
Canada,British Columbia,4,4
United States,Arizona,4,4
United States,Illinois,4,4
Brazil,State of Parana,2,2
Brazil,State of Rio Grande do Sul,2,2
Brazil,State of Rio de Janeiro,2,2
China,(not set),2,2
Hong Kong,(not set),2,2
United States,Colorado,2,2
,,1,1
Brazil,Federal District,1,1
Brazil,State of Maranhao,1,1
Brazil,State of Minas Gerais,1,1
Brazil,State of Para,1,1
Brazil,State of Piaui,1,1
