country,region,activeUsers,sessions
Brazil,State of Sao Paulo,10,13
(not set),(not set),6,6
Brazil,State of Minas Gerais,4,4
China,Xinjiang,4,4
United States,Illinois,4,4
United States,New York,3,3
Brazil,State of Bahia,2,2
Brazil,State of Rio Grande do Sul,2,2
China,(not set),2,2
Singapore,(not set),2,2
Brazil,State of Alagoas,1,1
Brazil,State of Maranhao,1,1
Brazil,State of Mato Grosso do Sul,1,1
Brazil,State of Parana,1,1
Brazil,State of Rondonia,1,1
Brazil,State of Santa Catarina,1,1
China,Sichuan,1,1
Costa Rica,Alajuela Province,1,1
Hong Kong,(not set),1,1
Mozambique,Maputo,1,1
